"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-4633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4636","0","0","1","1","0","2","0","0","2","0","0","1","5","0","2","2","3","0","0","2","0","0","0","0","1","4","1","3","1","1","2","1","0","0","0"
"hsa-mir-4637","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4638","0","0","0","6","0","9","0","1","1","0","1","0","7","4","5","7","1","0","0","19","1","0","2","0","3","0","2","4","1","9","9","7","0","10","6"
"hsa-mir-4639","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4640","0","0","0","0","0","0","0","1","0","0","1","0","6","0","0","1","1","0","0","1","0","0","1","0","0","0","1","1","5","4","2","1","1","1","2"
"hsa-mir-4641","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4644","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4645","0","0","0","0","0","6","0","0","0","0","0","0","3","1","1","3","0","0","0","2","2","0","2","1","2","0","3","1","1","3","1","5","0","1","2"
"hsa-mir-4646","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","2","1"
"hsa-mir-4647","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"hsa-mir-4648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","1","0","0"
"hsa-mir-4649","0","0","1","0","0","3","0","1","2","0","1","0","3","0","0","0","1","0","0","1","2","0","0","0","1","0","0","1","2","1","1","2","0","0","2"
"hsa-mir-4650-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4650-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4651","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4652","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","44","0","0","0","1","34","4","0","0","0","1","4","8","0","11","0"
"hsa-mir-4653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-4654","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","1","2","0","0","1","0","0","1"
"hsa-mir-4655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-4656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4657","0","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0"
"hsa-mir-4658","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","4","0","0","0","0","0","6","0","0","0","1","8","1"
"hsa-mir-4659a","0","0","0","0","0","0","1","1","0","0","0","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4659b","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4660","1","1","4","0","1","2","0","0","0","1","1","0","1","1","0","0","5","1","2","9","3","5","1","0","2","1","3","2","2","0","3","15","1","0","1"
"hsa-mir-4661","4","2","13","2","0","10","3","1","14","0","1","4","8","3","3","12","5","3","5","40","20","0","30","3","15","7","12","7","8","9","15","17","2","6","11"
"hsa-mir-4662a","22","11","72","21","7","52","29","34","78","17","46","14","55","21","41","34","53","22","66","7","9","5","246","2","47","1","57","46","14","12","52","33","13","17","27"
"hsa-mir-4662b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4664","0","0","0","1","0","0","0","0","1","0","1","0","0","1","2","3","0","0","0","7","1","2","3","2","0","1","4","4","3","8","3","6","1","1","8"
"hsa-mir-4665","0","0","0","0","0","2","0","0","0","0","1","1","3","0","1","2","0","0","0","1","1","0","0","0","0","0","0","1","1","0","2","0","0","0","2"
"hsa-mir-4666a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1"
"hsa-mir-4666b","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4667","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-4668","0","0","2","9","0","9","2","4","7","1","5","1","35","9","9","18","2","0","3","11","5","4","4","1","15","0","12","15","5","8","14","20","3","6","11"
"hsa-mir-4669","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4670","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-4671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-4673","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4674","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","1","3","1","0","0","5","0"
"hsa-mir-4675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4676","0","1","0","3","3","4","0","2","6","0","0","0","7","6","1","4","1","0","2","3","4","4","2","5","3","0","3","1","7","3","3","6","2","1","6"
"hsa-mir-4677","8","8","23","15","6","27","4","2","26","5","11","2","38","8","15","27","16","7","9","84","40","7","10","6","22","9","22","49","50","61","33","55","21","36","55"
"hsa-mir-4678","0","0","1","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4679-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"hsa-mir-4679-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4680","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","2","1","0","0","0","0","0","0","1"
"hsa-mir-4681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"hsa-mir-4682","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4683","0","0","0","0","0","0","0","0","0","1","0","0","3","2","0","1","1","0","0","1","0","0","2","1","0","0","0","0","0","2","0","1","0","0","0"
"hsa-mir-4684","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","2","7","0","1","0","1","0","0","0","0","1","1","0","0","0","0"
"hsa-mir-4685","0","1","1","2","0","1","0","3","7","0","1","0","8","2","3","0","1","0","0","0","0","0","2","1","0","0","2","5","1","3","3","2","2","0","3"
"hsa-mir-4686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4687","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","2","0","0","0","0","0","1","1","0","0"
"hsa-mir-4688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4690","0","1","0","0","0","0","0","1","2","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","3","0","0","0","1","0","0","0"
"hsa-mir-4691","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0"
"hsa-mir-4692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-4694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4695","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4696","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"hsa-mir-4697","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"hsa-mir-4698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","2","0","0","0","0","0","1","2","0","0","0","2","0"
"hsa-mir-4701","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"hsa-mir-4703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"hsa-mir-4705","1","1","2","0","0","1","0","1","5","1","6","1","11","0","0","0","0","0","0","0","0","0","1","0","1","0","0","4","0","0","1","0","0","0","0"
"hsa-mir-4706","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","3","0","0","3","1","0","0","1","0","4","3","1","1","0","4","4"
"hsa-mir-4708","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"hsa-mir-4709","1","0","1","0","0","1","0","0","2","0","0","0","2","1","3","5","1","1","0","2","0","0","1","0","12","1","2","1","4","2","2","2","1","1","0"
"hsa-mir-4710","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-4711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","0","0","1","0","1","3","2","0","0","0"
"hsa-mir-4714","0","0","0","0","0","0","0","1","1","0","0","0","2","0","3","1","0","0","1","1","0","2","0","0","0","0","0","2","0","1","1","1","0","0","2"
"hsa-mir-4715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","1","0","0","0"
"hsa-mir-4716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-4717","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4719","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4720","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"hsa-mir-4723","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-4724","0","1","0","7","3","4","0","2","0","0","0","0","22","15","5","13","4","0","0","13","0","0","0","1","0","0","0","7","15","7","3","4","7","6","17"
"hsa-mir-4725","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","1","0","0","0","0","0"
"hsa-mir-4726","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","3","3","0","3","0","0","1","1","1","0","0","0","0","0","0","1"
"hsa-mir-4727","0","2","0","2","0","0","1","0","0","2","3","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","3"
"hsa-mir-4728","2","4","0","2","4","6","4","3","9","0","4","1","6","7","1","1","6","0","3","80","1","0","0","1","1","3","3","3","4","9","2","3","4","7","4"
"hsa-mir-4729","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4730","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4731","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-4732","1","4","6","1","0","10","0","0","5","1","3","0","8","3","1","0","5","2","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0"
"hsa-mir-4733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1"
"hsa-mir-4734","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-4735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4736","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","4","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","1","0","0","1"
"hsa-mir-4737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4738","0","1","0","0","1","1","0","0","0","2","0","0","1","1","0","0","1","0","2","9","0","0","2","0","0","0","1","2","1","1","0","2","0","0","0"
"hsa-mir-4739","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","2","0","0"
"hsa-mir-4740","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-4741","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","2","1","0","0","0","0","0","1","0","1","0","4","3","0","1","0"
"hsa-mir-4742","1","1","0","0","0","0","0","0","1","0","3","3","5","3","1","5","1","0","1","5","0","0","5","0","4","0","1","2","2","2","4","2","3","0","0"
"hsa-mir-4743","0","0","0","0","0","1","0","0","1","0","1","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"hsa-mir-4744","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4745","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","1","0","1","1","0","0","1","1","0","1","1","9","1","1","1"
"hsa-mir-4746","0","3","3","3","3","6","0","4","4","1","2","0","9","6","5","4","3","2","1","37","27","0","12","2","8","4","10","28","13","11","11","11","13","10","16"
"hsa-mir-4747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"hsa-mir-4748","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0"
"hsa-mir-4749","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0"
"hsa-mir-4750","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4751","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-4753","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","3","1","0","1","0","2","1","1","0","0","0","0","2","1","1","0"
"hsa-mir-4754","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","3","0","4","0","0","0","0","0"
"hsa-mir-4755","0","0","0","2","1","0","0","1","1","0","0","0","0","1","1","2","0","0","0","2","1","0","0","0","2","0","0","0","1","0","1","3","1","0","1"
"hsa-mir-4756","0","0","0","10","0","1","0","1","2","0","0","0","6","3","2","2","0","0","0","1","2","0","0","0","1","0","0","1","1","0","0","0","0","1","0"
"hsa-mir-4757","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4758","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","4","0","0","0","1"
"hsa-mir-4759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4762","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","1","2","1","0","2","0","3","1","0","1","1","1","0","1","0","0","0"
"hsa-mir-4763","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","1","0","1","3","1","2","0","0"
"hsa-mir-4764","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4765","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4766","0","0","0","3","0","0","0","0","1","0","1","0","2","4","1","0","0","0","1","5","1","1","1","0","0","0","0","1","3","4","1","6","1","5","2"
"hsa-mir-4767","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"hsa-mir-4768","1","0","1","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","3","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0"
"hsa-mir-4769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4770","1","3","0","0","4","2","2","4","2","3","8","1","4","0","0","0","2","3","1","1","0","0","2","0","0","0","0","0","1","0","2","0","0","0","0"
"hsa-mir-4771-1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","3","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4771-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4772","8","12","19","35","7","40","6","33","67","8","13","6","120","31","48","59","59","3","9","24","65","6","6","3","45","11","49","149","53","81","94","33","23","152","82"
"hsa-mir-4773-1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-4773-2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","3","0","0","1","0"
"hsa-mir-4774","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4775","0","0","0","1","0","0","1","0","0","1","1","0","0","2","0","0","4","0","1","0","0","0","0","0","4","0","1","2","1","0","0","1","0","1","0"
"hsa-mir-4776-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4776-2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","4","0","2","2","2","2","1","1","0","2","3"
"hsa-mir-4778","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0"
"hsa-mir-4779","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4780","0","0","0","1","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0"
"hsa-mir-4781","0","4","2","0","0","0","2","0","2","1","3","1","2","0","2","3","7","0","0","0","1","1","0","0","1","0","0","1","5","0","0","0","0","2","2"
"hsa-mir-4782","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-4783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4784","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","1","0","0","0","3","2","0","1","0","2","0","0","2","1","1","1","0","1","1","1"
