"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-1268a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1268b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1269a","0","2","41","0","0","0","0","0","3","0","0","0","1","10","2","0","0","0","0","1","0","0","0","3","0","2","2","447","0","0","5","1166","0","168","1","0","1","12","942","1053","48","101","0","1505","4","1869","0","3","199","0","0"
"hsa-mir-1269b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","283","0","12","0","298","0","0","0","0","47","0","0"
"hsa-mir-127","1531","2447","3258","1603","1025","2053","1693","1281","2593","1608","819","2680","1215","8878","3497","1382","2663","1888","1324","2418","1410","6113","3720","4493","1763","2359","4100","2959","1349","2617","1421","1809","1720","1017","13779","2808","1980","7812","4340","324","3637","4273","1745","2008","6009","3055","985","4081","1528","2739","2236"
"hsa-mir-1270","3","4","0","4","0","1","0","0","7","0","0","1","2","8","3","1","0","9","3","6","0","5","4","5","0","2","3","16","0","1","3","4","1","0","3","3","10","6","4","12","4","0","0","19","8","2","0","7","1","2","0"
"hsa-mir-1271","9","18","5","3","14","1","4","3","10","4","5","2","0","13","9","4","1","12","4","13","6","21","13","70","6","21","14","1","1","3","6","16","3","5","33","13","4","4","5","1","19","8","4","14","16","2","1","16","3","6","3"
"hsa-mir-1272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0"
"hsa-mir-1275","0","3","0","0","0","0","1","2","2","0","0","2","1","0","0","0","0","0","0","2","0","3","1","0","0","0","0","0","0","0","0","20","0","1","1","0","0","1","7","0","0","0","0","3","0","0","0","2","0","1","0"
"hsa-mir-1276","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","8","0","0","0","0","1","3","1","3","0","1","1","3","0","5","0","1","0","3","0"
"hsa-mir-1277","1","35","0","1","2","0","1","9","15","0","1","1","1","16","9","3","2","11","0","15","2","6","2","18","0","6","7","0","0","1","2","15","9","4","4","28","2","1","1","5","31","8","2","31","3","3","3","20","6","4","1"
"hsa-mir-1278","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"hsa-mir-1279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-128-1","131","151","128","120","135","169","288","152","145","74","96","207","188","335","288","118","157","135","163","150","75","204","311","471","185","160","294","392","232","341","136","335","182","179","387","234","282","568","356","241","224","382","136","304","166","366","173","241","166","311","251"
"hsa-mir-128-2","65","114","75","88","100","144","237","114","91","75","88","183","182","236","238","100","140","93","97","126","67","114","215","359","108","77","181","285","142","282","101","242","132","111","264","187","231","426","301","173","166","282","101","241","117","273","96","176","86","240","210"
"hsa-mir-1281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1284","0","0","0","1","0","0","3","1","2","0","1","1","0","1","0","0","0","0","0","1","1","1","1","3","0","0","1","3","0","1","1","2","1","0","2","1","1","0","0","0","0","1","0","3","1","1","0","0","0","3","1"
"hsa-mir-1285-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1285-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"hsa-mir-1287","119","124","103","123","87","68","130","92","104","21","82","69","57","220","101","62","39","68","108","77","40","88","133","536","110","102","95","159","119","69","240","130","77","64","140","229","385","140","103","105","114","82","50","100","85","42","57","67","102","166","23"
"hsa-mir-1288","1","4","1","0","0","0","0","1","1","1","1","1","3","5","0","0","1","3","0","2","0","2","0","2","0","3","3","0","1","3","1","0","1","2","5","5","5","3","2","1","2","3","1","2","1","2","1","0","0","1","1"
"hsa-mir-1289-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"hsa-mir-1289-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-129-1","40","21","14","118","33","28","80","41","44","2","29","7","23","236","8","14","34","26","40","31","0","126","11","68","51","37","7","13","63","19","1","37","2","8","11","4","6","10","12","11","19","12","1","6","10","0","20","1","3","1","6"
"hsa-mir-129-2","43","25","6","135","28","19","74","58","62","3","38","11","16","341","12","22","36","21","42","27","2","156","9","70","53","43","11","6","96","29","1","39","6","19","18","4","11","8","9","11","21","14","5","5","20","3","38","5","1","3","9"
"hsa-mir-1290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1291","0","6","0","0","2","1","0","0","2","0","1","0","0","1","0","0","1","0","0","7","0","5","0","1","0","1","3","1","0","0","2","6","3","2","8","8","1","0","0","1","11","2","0","13","0","0","1","29","1","2","0"
"hsa-mir-1292","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","1","1","2","0","3","1","1","1","0","0","2","1","2","3","5","4","1","5","3","1","4","1","2","6","3","1","1","1","2","2","5","3","6","0"
"hsa-mir-1293","0","2","1","1","0","0","0","1","1","1","0","2","1","3","9","0","0","0","0","5","1","1","20","0","0","2","3","3","4","2","12","2","6","0","0","1","5","1","0","3","5","3","0","1","0","2","11","3","0","6","0"
"hsa-mir-1294","0","1","1","0","0","0","0","5","0","1","0","1","0","6","0","0","1","3","0","2","0","0","1","4","0","2","0","3","1","0","1","0","0","1","1","1","1","1","2","0","5","1","0","0","2","0","1","4","1","1","0"
"hsa-mir-1295a","0","8","0","0","1","1","0","1","2","1","1","7","4","4","0","6","2","4","0","4","0","4","5","1","0","4","2","5","5","5","1","0","1","1","5","0","2","4","4","2","5","1","0","4","2","1","2","3","7","0","2"
"hsa-mir-1295b","0","0","0","0","0","0","0","2","2","0","0","0","0","1","0","1","0","0","0","0","0","3","1","0","0","1","4","0","1","1","1","1","1","3","0","0","2","0","0","0","1","0","0","4","0","1","0","0","1","0","0"
"hsa-mir-1296","32","25","6","25","22","16","10","10","25","9","17","6","3","22","17","13","6","25","23","43","10","63","18","65","21","39","31","9","7","29","6","57","15","17","62","22","10","53","27","7","19","21","4","7","37","13","6","29","20","23","17"
"hsa-mir-1297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1298","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","1","0","0","0","0","5","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"hsa-mir-1299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1301","14","16","6","8","8","6","3","6","22","2","5","7","10","36","5","6","1","17","7","28","5","34","6","51","18","21","48","11","13","15","35","172","12","23","71","116","13","39","12","23","56","22","4","125","43","23","12","106","9","29","10"
"hsa-mir-1302-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1303","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1304","0","4","0","0","1","4","0","4","3","0","0","3","2","7","3","1","1","1","0","6","0","4","6","0","0","2","9","63","1","11","7","5","9","3","3","2","2","5","5","1","4","7","2","0","1","3","1","10","15","6","9"
"hsa-mir-1305","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","5","0","0","0","1","0","0","0"
"hsa-mir-1306","11","26","6","14","14","5","10","15","32","5","13","6","7","17","10","8","4","42","13","44","5","32","6","144","16","25","41","16","12","11","19","121","12","11","34","64","13","18","14","52","64","22","13","60","45","28","13","65","14","23","2"
"hsa-mir-1307","1848","3761","1897","1693","1720","487","968","4393","3138","710","1385","1063","1652","3004","5369","2002","971","2825","1426","1849","2316","2837","3955","4754","1922","2180","6200","3900","4487","3260","3287","8302","5593","4373","8349","9010","3744","7211","2075","8920","3822","8951","5239","6285","3480","5206","4398","3886","3333","8361","1724"
"hsa-mir-130a","303","742","95","208","213","101","99","129","261","34","159","45","40","606","287","113","87","254","300","530","58","433","271","943","282","610","340","82","84","67","95","337","153","311","1006","271","153","81","85","80","477","428","68","467","434","55","131","726","109","107","40"
"hsa-mir-130b","8","190","13","2","11","12","8","71","114","8","6","44","57","183","13","42","38","132","7","155","10","119","39","23","4","103","195","234","44","113","54","376","128","100","262","146","86","87","83","180","206","100","48","150","102","128","63","473","98","152","110"
"hsa-mir-132","235","363","309","236","179","255","393","294","446","180","189","653","207","872","327","267","591","393","184","560","192","590","329","421","202","340","546","898","348","416","217","306","238","376","1503","432","357","1609","785","132","806","423","331","397","720","564","266","928","193","437","255"
"hsa-mir-1321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1323","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
