"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-mir-1252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1254-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","2","0","0","0","0","1","1","0","1","2","0","3","2","0","0","0","4","1","1","0","1","0","0","0","0"
"hsa-mir-1254-2","1","0","0","0","0","1","0","0","0","1","0","1","0","2","0","0","0","2","0","1","0","0","1","0","1","2","0","0","1","3","0","0","0","0","0","1","0","1","1","0","2","2","0","0","0","0","0","0","0","0","2","0","0","3","1","0","1","1","4","0","0","0","0","2"
"hsa-mir-1255a","2","3","3","2","0","3","0","7","0","1","1","1","1","0","1","2","2","7","2","4","2","3","1","2","0","3","3","0","0","2","1","1","0","4","1","0","0","0","4","4","2","2","0","3","0","3","0","3","0","1","4","1","4","4","1","7","1","1","0","3","0","2","0","1"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","1","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","1","0","0","1","5","0","0","0","0","0","0","0","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1258","55","111","73","48","46","31","97","103","72","52","44","86","70","30","11","71","11","56","30","48","123","143","108","79","30","68","87","51","17","48","49","71","0","1","0","0","0","0","23","0","0","0","0","15","0","5","0","3","1","0","14","0","0","1","0","1","11","1","7","1","0","1","2","0"
"hsa-mir-125a","3656","5167","2268","3084","972","1662","5345","3496","1828","1573","4767","3651","2896","1448","2318","2236","1725","5378","2367","3246","3228","3085","2606","2405","1595","6131","2858","2876","917","3204","1389","3663","442","618","1653","337","315","1507","6099","2202","819","2165","1036","495","2308","567","729","1483","1496","1159","208","1709","285","4386","1081","1044","341","259","2856","2420","5628","4133","4361","8039"
"hsa-mir-125b-1","4152","3709","3064","2422","1265","2165","5781","4444","1857","2012","3434","3685","3404","3010","1583","3089","1012","5510","2146","3855","3442","2806","2952","2773","1946","5571","3971","3694","1119","4445","2098","3803","2138","513","1017","1789","430","3914","4317","1009","97","1738","79","2942","1433","621","1121","1710","1573","1242","935","1650","1114","2269","572","228","391","433","1410","2512","1541","1463","864","3439"
"hsa-mir-125b-2","4485","4348","3452","2648","1455","2283","5785","4989","2069","2292","3758","4097","3596","3230","1714","3406","1184","5935","2475","4241","3824","3337","3192","2898","2155","5884","4298","4070","1208","4873","2327","3928","2798","585","1083","1963","473","4272","4598","1039","118","1936","64","3131","1620","790","1385","1918","1699","1320","1028","1796","1188","2432","602","230","478","537","1499","2577","1678","1508","881","3552"
"hsa-mir-126","44311","45075","29528","44237","23351","14392","93171","60370","33760","29006","65995","37541","34089","17078","31354","50893","13079","46641","33903","68172","49702","34698","33182","31261","23097","47280","34467","31394","11059","37644","15738","40401","13258","23507","22546","15303","14856","45051","23022","13608","26863","50292","13802","11207","42182","13187","18566","11370","31927","38027","9071","37762","12175","56034","12366","14353","9411","4974","19728","12294","12224","23302","14204","22581"
"hsa-mir-1260a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1260b","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1262","1","10","1","4","0","2","3","1","1","4","10","5","5","2","0","3","2","6","5","10","6","4","3","4","2","6","5","0","0","2","2","2","5","3","0","0","7","7","17","4","26","2","1","2","7","0","2","4","0","2","2","0","7","1","0","1","0","11","2","5","0","3","2","1"
"hsa-mir-1263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-1264","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1266","9","53","11","13","3","6","8","6","11","13","3","7","8","5","3","5","19","7","13","8","17","58","20","17","4","2","8","0","1","9","3","5","33","0","149","3","15","9","48","20","16","23","7","47","5","92","232","28","52","6","5","36","12","65","6","11","19","38","66","17","12","25","6","42"
"hsa-mir-1267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-1268a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1268b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1269a","5","3","265","0","107","0","11","107","6","0","17","12","51","5","48","11","9","10","24","1","11","560","193","2","7","158","3","24","4","270","1","13","26","364","5","2899","2","6511","57","8","26","1280","3","19","17","7920","622","1034","11348","21621","322","4077","16132","2","21","2276","4268","10968","15","18","3","2","1","0"
"hsa-mir-1269b","1","27","0","0","0","0","1","64","1","7","0","2","0","0","1","1","3","50","0","0","0","68","0","11","0","0","0","0","0","0","30","0","27","0","1","371","0","0","1750","7","0","166","3","7809","0","1536","5","336","2","8","59","1103","7","0","0","0","6","11","1","0","0","0","0","1"
"hsa-mir-127","4243","5025","3530","4314","2616","1699","8520","8050","3245","2289","5043","6078","3348","1874","7090","4025","1682","12585","2750","6274","6932","4602","3423","2724","1823","7698","5443","4141","1255","3605","1536","4245","525","1022","16154","89","322","1587","15126","4600","2033","3108","1334","1275","1396","999","936","5112","1211","2002","825","1617","1519","3468","2368","521","617","1454","4333","7380","773","1058","16857","7555"
"hsa-mir-1270","10","3","5","7","0","1","7","3","1","1","2","6","5","2","2","1","1","6","4","5","4","1","2","4","2","6","3","3","0","3","3","9","1","5","45","0","1","19","19","0","6","33","2","0","3","1","23","2","35","19","27","10","5","2","1","22","0","12","4","12","13","11","1","2"
"hsa-mir-1271","29","14","13","17","4","14","37","37","11","9","21","13","9","9","11","12","9","43","10","14","14","15","9","14","3","35","27","16","1","12","6","24","1","5","2","6","4","6","15","5","15","16","20","1","9","0","3","5","26","8","5","5","2","13","7","2","2","2","0","15","19","14","6","21"
"hsa-mir-1272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273c","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273h","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"hsa-mir-1275","1","1","2","6","0","0","8","2","6","3","2","1","1","1","3","1","4","9","1","5","2","7","4","5","2","5","1","0","2","0","0","4","0","2","2","0","1","1","3","1","0","5","1","2","7","0","1","0","2","2","1","1","0","0","1","0","2","0","0","0","0","0","0","0"
"hsa-mir-1276","0","3","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","1","1","1","0","0","2","0","1","0","0","0","2","0","1","0","0","0","0","1","7","3","1","2","1","0","3","1","0","1","0","1","2","2","1","2","0","0","3","0","0","0","0","0"
"hsa-mir-1277","11","29","9","23","9","6","12","28","23","23","28","25","8","3","4","16","6","16","17","20","20","29","21","10","16","0","7","12","8","13","12","21","14","7","11","2","1","9","3","1","16","12","10","3","12","3","7","7","4","19","4","14","5","7","3","16","0","13","4","5","9","14","12","5"
"hsa-mir-1278","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","2","0","1","1","1","0","0","0","0","0","0","0","1","0","1","2","0","0","1","0","0","0"
"hsa-mir-1279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-128-1","441","908","739","388","230","326","499","695","564","610","369","765","465","694","222","380","246","770","323","784","568","904","572","604","464","869","560","604","228","1084","457","410","727","349","1070","326","708","248","1335","383","735","1117","490","1473","602","912","881","464","607","785","543","1218","356","661","171","194","401","545","516","354","341","137","352","872"
"hsa-mir-128-2","274","753","480","253","179","170","294","457","416","466","274","577","327","410","133","222","170","512","200","552","447","796","439","427","250","504","335","346","146","679","295","257","576","191","832","145","552","152","1046","310","602","775","274","1057","458","604","714","324","438","396","350","916","240","508","161","85","235","357","394","262","205","92","236","586"
"hsa-mir-1281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0"
"hsa-mir-1283-2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","1","1","0","2"
"hsa-mir-1284","2","6","1","1","0","3","1","6","0","0","0","1","1","0","1","5","0","2","0","1","4","1","5","1","0","2","3","1","1","3","2","2","1","0","12","1","0","1","1","1","1","1","0","3","1","4","2","1","2","0","1","1","0","3","2","0","0","0","0","2","1","1","3","3"
"hsa-mir-1285-1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-1285-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1286","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1287","157","403","237","143","31","100","189","173","123","103","129","253","229","208","66","74","113","204","76","127","148","380","215","257","77","135","133","91","50","158","67","104","375","34","220","604","13","18","228","93","30","154","79","133","338","74","46","40","142","33","16","51","17","280","26","69","3","21","117","70","272","205","62","167"
