"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-mir-1268b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1269a","3","234","9","5","214","3","151","44","0","113","30","56","98","107","870","4","7","75","100","20","4","273","267","64","41","87","5204","2804","22","3757","4463","5854","23","6818","10","7366","4828","15","2","237","7","6941","1057","186","14","49","1029","9","0","14"
"hsa-mir-1269b","21","0","0","44","4","0","0","0","66","0","1","0","0","0","0","0","0","12","0","0","14","0","0","0","0","3","1","1308","14","0","0","6","3011","6","149","4","1225","0","0","66","1","3","2","1","4","0","2","0","0","0"
"hsa-mir-127","12663","4468","2976","2619","6589","1982","5556","4163","6664","5058","6430","1968","7149","2375","8956","3845","3297","4320","3408","8084","5602","3062","1670","1535","1918","32172","1826","4048","708","6510","611","494","3926","2203","21111","707","12688","1530","520","1006","1126","4105","4010","33286","3601","13464","4534","9133","1367","2531"
"hsa-mir-1270","5","1","2","1","3","2","2","3","3","0","3","1","4","1","9","4","2","1","1","3","7","1","2","3","1","8","20","15","2","93","0","1","5","13","18","0","0","5","14","7","0","0","11","3","5","2","8","2","12","15"
"hsa-mir-1271","32","3","13","15","23","21","15","15","22","14","21","4","13","12","21","13","14","13","12","6","14","12","1","4","13","13","7","9","16","12","3","5","19","7","37","1","2","7","40","0","5","9","11","2","4","13","6","7","13","1"
"hsa-mir-1272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273h","2","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-1275","6","5","6","1","6","1","1","8","3","4","2","2","0","0","1","8","3","6","4","0","3","3","4","1","2","0","0","5","2","1","1","0","4","2","3","3","0","1","0","1","6","2","2","4","0","4","2","2","3","0"
"hsa-mir-1276","5","0","0","0","0","0","5","1","1","0","2","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","2","1","1","3","3","3","4","1","5","0","3","3","3","5","0","0","0","0","0","0","0"
"hsa-mir-1277","37","29","19","5","26","4","24","7","3","6","22","16","14","2","26","5","17","9","3","15","26","22","8","16","8","16","24","9","7","30","1","4","4","22","5","5","19","4","10","3","12","6","8","7","20","14","53","9","7","7"
"hsa-mir-1278","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","3","0","1","1","1","2","0","1","0","1","0","0","1","5","0","0","0"
"hsa-mir-1279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-128-1","809","689","538","212","700","292","444","317","780","877","331","319","362","267","721","476","613","337","358","563","598","474","396","270","620","457","449","647","546","1025","442","470","737","527","869","1361","408","270","1042","378","1429","996","1272","949","563","449","1396","404","272","502"
"hsa-mir-128-2","537","429","419","135","484","172","324","183","535","530","227","224","235","164","522","333","389","219","226","406","452","396","253","132","355","363","273","486","318","641","315","386","504","453","628","1204","263","195","730","218","1194","735","829","654","434","402","1128","283","174","403"
"hsa-mir-1281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","6","0","3","0","0","0","0","21","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1283-2","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","0","1","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1284","5","3","4","1","1","1","2","3","0","4","1","1","1","0","3","2","1","2","1","0","1","0","2","0","2","2","1","3","1","5","1","0","1","0","1","0","1","3","6","0","0","0","1","3","1","0","5","0","0","3"
"hsa-mir-1285-1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1285-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1287","159","110","124","68","176","77","60","80","83","71","66","34","101","48","127","98","122","74","133","102","97","259","93","60","76","479","11","256","18","268","236","23","101","33","259","32","20","146","590","5","23","148","38","62","198","75","72","38","97","217"
"hsa-mir-1288","8","5","0","3","3","3","2","4","2","0","0","6","4","2","10","3","2","3","4","1","3","3","3","1","4","2","2","1","3","10","0","10","1","1","12","6","3","1","2","2","2","0","2","3","12","1","4","1","1","1"
"hsa-mir-1289-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1289-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-129-1","4","2","0","0","2","2","2","2","4","2","0","0","1","2","8","2","2","4","3","2","3","1","2","1","0","27","2","1","0","0","1","18","4","2","7","24","0","1","6","3","15","2","2","1","15","6","5","4","65","1"
"hsa-mir-129-2","4","1","0","2","4","2","2","1","4","0","4","1","2","3","11","1","2","8","3","3","2","0","2","3","0","30","1","2","0","0","1","15","7","2","5","29","0","1","2","1","16","1","2","5","20","8","5","3","84","0"
"hsa-mir-1290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1291","5","7","5","4","1","1","1","1","5","2","6","2","7","3","4","6","7","2","0","0","6","2","1","3","2","13","1","2","3","11","0","0","5","5","2","3","3","3","3","0","4","3","5","3","3","3","6","0","3","1"
"hsa-mir-1292","1","0","0","0","0","0","2","0","4","1","0","0","2","1","5","1","1","1","2","1","2","3","1","2","0","6","2","3","2","8","0","3","6","2","0","9","1","2","3","0","10","1","0","6","3","3","4","5","0","4"
"hsa-mir-1293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","1"
"hsa-mir-1294","3","1","0","0","4","0","3","1","1","0","3","1","2","0","5","0","5","2","1","3","0","2","3","1","1","1","0","0","2","0","0","0","0","3","3","2","2","0","2","2","0","3","0","6","4","2","1","0","0","0"
"hsa-mir-1295a","1","1","7","5","9","5","1","8","1","7","5","5","12","1","9","4","1","5","8","0","14","0","6","2","2","6","6","1","0","7","0","0","4","40","10","8","1","5","0","77","1","2","5","0","0","6","2","2","1","0"
"hsa-mir-1295b","185","303","118","68","107","154","102","140","132","205","80","86","97","119","309","161","199","200","175","168","178","116","90","94","133","26","33","132","68","0","30","5","24","42","147","23","66","13","5","115","18","3","148","62","3","102","275","1","1","0"
"hsa-mir-1296","71","17","22","25","9","21","21","40","68","36","20","18","23","26","34","33","41","50","41","25","46","10","10","7","10","56","21","9","47","63","7","6","46","15","40","6","13","12","31","8","5","16","22","28","16","21","39","23","7","19"
"hsa-mir-1297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1298","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","16","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
"hsa-mir-1299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1301","41","35","29","16","40","14","21","28","33","21","25","11","22","7","26","24","37","21","13","32","42","55","9","11","15","131","73","74","26","71","5","60","67","36","40","147","35","54","71","11","93","47","29","114","188","40","90","22","23","64"
"hsa-mir-1302-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1303","0","1","0","0","0","1","3","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","3","2","1","0","0","0","1","0","0","0","1","0","0","0"
"hsa-mir-1304","6","5","4","1","4","0","1","2","2","3","4","1","8","1","2","1","3","1","0","7","23","0","0","0","0","11","5","2","4","25","1","3","3","2","32","4","3","2","4","4","8","13","2","6","2","1","5","2","2","2"
"hsa-mir-1305","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-1306","89","45","58","32","64","33","53","24","49","50","48","39","28","27","85","35","52","45","46","49","93","62","40","29","59","98","102","69","71","68","30","17","52","125","55","45","29","32","35","82","21","87","97","56","53","69","135","14","22","56"
"hsa-mir-1307","11165","5851","6280","5890","6319","4532","6289","5513","9918","7717","2641","4482","5569","6181","15158","5578","9342","5488","6178","6355","6888","7058","6851","2283","8704","7208","5968","12110","17441","14270","7859","9960","7798","7565","6863","11120","7275","10349","20490","9414","10758","4024","7907","9460","17342","5965","22705","3333","3156","6645"
"hsa-mir-130a","1499","656","452","294","802","410","618","496","1110","858","739","349","734","391","753","810","541","544","565","653","871","634","222","312","393","581","179","178","74","76","62","49","534","164","808","30","127","203","850","128","87","115","516","140","195","710","311","646","299","582"
"hsa-mir-130b","395","236","242","83","86","159","262","153","190","362","106","178","198","119","196","231","197","82","133","247","402","77","76","73","131","164","447","561","186","136","54","57","229","153","307","64","34","147","121","962","44","135","312","195","131","180","273","38","54","117"
"hsa-mir-132","467","281","412","288","616","131","183","265","285","237","394","122","445","104","498","161","185","206","210","387","245","203","184","347","324","1173","434","568","170","306","58","328","512","390","875","395","145","370","1020","111","766","391","460","578","1721","480","284","369","630","684"
"hsa-mir-1321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1323","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","1","0","2","0","0","0","0","0","1","4","2","0","2","0","0","35","0","24","0","2","0","1","351","0","0","5","1","0","0","0","0","0","0"
"hsa-mir-1324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
